member_casual,day_of_week,number_of_rides,avg_duration
casual,Sun,263364,27.812178870307594
casual,Mon,179830,23.336500247542386
casual,Tue,161286,20.746083339433806
casual,Wed,185591,21.457969916191246
casual,Thu,181299,21.021372003428215
casual,Fri,220332,23.364412480789017
casual,Sat,314442,27.441398664195084
member,Sun,292782,14.097219839278257
member,Mon,395696,11.966594975646967
member,Tue,417749,12.012935149894608
member,Wed,442706,12.24312838942
member,Thu,410547,11.980685965757225
member,Fri,373277,12.202587259101145
member,Sat,329355,14.140828318328804
